full_sample_id,timepoint,date,species,month,site,file.name,series,histo company,scale,units,sex,StageI,StageII,StageIII,StageIV,StageV,Total gametes,Notes,
AST-1191-TP6,TP6,7/23/21,Astrangia poculata,Juy,FW,AST-1191-TP7,14,PP,3.6524,microns,NA,0,0,0,0,0,0,,0
AST-1466-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1466_1.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,0,0,,0
AST-1541-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1541_2.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,0,0,,0
AST-1636-TP6,TP6,7/23/21,Astrangia poculata,July,FW,Image_AST_1636.vsi,14,NOVA,7.3049,microns,female,0,0,0,50,,50,,50
AST-2566-TP6,TP6,7/23/21,Astrangia poculata,Juy,FW,Image_AST_2566_2.vsi,20,NOVA,3.6524,microns,NA,0,0,0,0,0,0,,0
AST-1187-TP6,TP6,7/23/21,Astrangia poculata,July,FW,AST-1187-TP6.vsi,14,PP,3.6524,microns,female,0,0,1,0,0,1,,1
AST-1141-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_1141_2.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,0,0,Exists on tank data and in boxes,0
AST-1204-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_1204_1.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,0,0,All slides except AST_1204_2 series 22 scanned very very weird,0
AST-2279-TP7,TP7,8/25/21,Astrangia poculata,August,,A-AST-2279-TP7.vsi,14,PP,3.6547,microns,NA,0,0,0,0,0,0,,0
AST-1242-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_2372_2.vsi,20,NOVA,3.6525,microns,NA,0,0,0,0,0,0,,0
AST-2372-TP7,TP7,8/25/21,Astrangia poculata,August,ENDV,Image_AST_2372.vsi,20,NOVA,7.3049,microns,NA,0,0,0,0,0,0,,0
