full_sample_id,date,species,site,file.name,series,histo company,scale,units,sex,stage,length,width,total gametes,Notes
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,1,19.63,16.977,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,2,36.367,18.202,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,2,29.887,22.821,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,2,41.43,29.514,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,3,96.178,40.779,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,3,73.394,60.16,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,3,67.754,37.287,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,4,86.853,71.46,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,4,134.45,50.161,50,
AP-6-3,7/14/21,Astrangia poculata,Field,AP-6-3-714.vsi,14,PP,3.6526,microns,female,4,125.079,65.065,50,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,3,87.725,57.14,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,3,93.322,46.881,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,3,85183,44.61,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,4,152.862,56.187,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,4,113.56,76.889,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,4,129.933,37.496,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,5,150.604,61.416,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,5,110.433,32.914,38,
AP-3-2,7/14/21,Astrangia poculata,Field,AP-3-2-714.vsi,19,PP,3.6526,microns,male,5,75.194,44.521,38,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,2,48.508,10.185,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,2,23.647,9.749,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,2,29.956,9.292,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,3,76.355,40.196,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,3,87.528,30.369,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,3,62.037,34.928,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,4,105.247,60.142,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,4,104.842,60.142,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,4,76.978,74.404,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,5,134.943,47.132,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,5,128.937,39.199,50,
AP-5-1,7/14/21,Astrangia poculata,Field,AP-5-1-714.vsi,14,PP,3.6526,microns,female,5,110.819,38.811,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,2,37.825,25.022,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,2,41.47,28.473,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,2,33.676,16.983,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,3,60.259,35.791,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,3,65.88,46.395,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,3,65.359,55.086,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,4,114.89,55.114,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,4,93.644,58.475,50,
AP-5-2,7/14/21,Astrangia poculata,Field,AP-5-2-714.vsi,14,PP,3.6526,microns,female,4,67.118,62.825,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,3,71.178,41.402,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,3,87.098,49.418,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,3,67.881,31.479,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,4,94.794,49.994,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,4,148.271,45.319,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,4,177.082,74.737,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,5,81.726,48.002,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,5,119.616,32.854,50,
AP-2-2,7/14/21,Astrangia poculata,Field,AP-2-2-714.vsi,14,PP,3.6526,microns,male,5,107.642,56.291,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,3,102.496,32.06,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,4,151.775,43.837,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,4,137.511,49.284,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,4,124.647,43.199,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,5,133.817,55.283,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,5,102.515,61.33,50,
AP-1-1,7/14/21,Astrangia poculata,Field,AP-1-1-714.vsi,14,PP,3.6526,microns,male,5,96.798,58.495,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,2,40.572,29.671,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,2,40.28,23.706,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,2,38.568,20.286,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,4,111.86,75.856,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,4,114.389,85.302,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,4,98.621,59.228,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,5,130.618,81.218,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,5,110.943,88.023,50,
AP-3-1,7/20/22,Astrangia poculata,Field,AP-3-1-720.vsi,14,PP,3.6526,microns,female,5,105.036,75.85,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,1,22.836,17.754,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,1,20.623,12.594,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,1,24.126,13.812,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,2,50.598,27.819,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,2,39.567,21.11,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,2,45.643,21.567,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,3,60.209,34.567,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,3,71.26,44.675,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,3,60.907,38.35,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,4,88.392,51.797,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,4,94.645,53.861,50,
AP-3-2,7/20/22,Astrangia poculata,Field,AP-3-2-720.vsi,14,PP,3.6526,microns,female,4,83.605,54.404,50,
AP-1-1,7/20/22,Astrangia poculata,Field,AP-1-1-720.vsi,14,PP,3.6526,microns,female,3,73.322,59.415,50,
AP-1-1,7/20/22,Astrangia poculata,Field,AP-1-1-720.vsi,14,PP,3.6526,microns,female,3,68.841,46.982,50,
AP-1-1,7/20/22,Astrangia poculata,Field,AP-1-1-720.vsi,14,PP,3.6526,microns,female,3,65.239,33.109,50,
AP-1-1,7/20/22,Astrangia poculata,Field,AP-1-1-720.vsi,14,PP,3.6526,microns,female,4,102.284,64.698,50,
AP-1-1,7/20/22,Astrangia poculata,Field,AP-1-1-720.vsi,14,PP,3.6526,microns,female,4,97.492,64.516,50,
AP-1-1,7/20/22,Astrangia poculata,Field,AP-1-1-720.vsi,14,PP,3.6526,microns,female,4,105.498,70.391,50,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,1,21.383,15.507,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,1,16.933,16.548,28,
AP-1-3,7/20/22,Astrangia poculata,Field,AP-1-3-720.vsi,14,PP,3.6526,microns,female,1,14.134,12.028,28,
