full_sample_id,timepoint.x,date.x,species,month,site.x,sex,StageI,StageII,StageIII,StageIV,StageV,total_gametes,site.y,tank,treatment,timepoint.y,date.y
_FLD-4-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,male,0,0,0,6,4,10,FW,NA,Field,TP7,9/2/21
_FLD-5-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,3,19,28,0,0,50,FW,NA,Field,TP2,4/11/21
_FLD-5-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,18,32,0,0,0,50,FW,NA,Field,TP3,4/29/21
_FLD-5-TP4_,TP4,6/4/21,Astrangia poculata,June,NA,female,0,30,9,0,0,39,FW,NA,Field,TP4,6/4/21
_FLD-5-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,female,0,6,29,15,0,50,FW,NA,Field,TP5,6/26/21
_FLD-5-TP6_,TP6,7/24/21,Astrangia poculata,July,NA,female,0,0,7,43,0,50,FW,NA,Field,TP6,7/24/21
_FLD-5-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,female,6,5,3,36,0,50,FW,NA,Field,TP7,9/2/21
_FLD-6-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,8,12,30,0,0,50,FW,NA,Field,TP2,4/11/21
_FLD-6-TP4-1_,TP4,6/4/21,Astrangia poculata,June,NA,female,5,35,10,0,0,50,FW,NA,Field,TP4,6/4/21
_FLD-6-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,female,0,10,37,3,0,50,FW,NA,Field,TP5,6/26/21
_FLD-6-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,male,10,14,14,3,2,43,FW,NA,Field,TP7,9/2/21
_FLD-7-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP2,4/11/21
_FLD-7-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,male,7,8,0,0,0,15,FW,NA,Field,TP3,4/29/21
_FLD-7-TP5_,TP5,6/26/21,Astrangia poculata,June,NA,female,0,9,0,0,0,9,FW,NA,Field,TP5,6/26/21
_FLD-7-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,NA,0,0,0,0,0,0,FW,NA,Field,TP7,9/2/21
_FLD-8-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,7,33,10,0,0,50,FW,NA,Field,TP2,4/11/21
_FLD-8-TP3_,TP3,4/29/21,Astrangia poculata,April,NA,female,2,2,0,0,0,4,FW,NA,Field,TP3,4/29/21
_FLD-8-TP7_,TP7,9/2/21,Astrangia poculata,September,NA,male,0,0,6,27,17,50,FW,NA,Field,TP7,9/2/21
_FLD-9-TP2_,TP2,4/11/21,Astrangia poculata,April,NA,female,0,20,6,0,0,26,FW,NA,Field,TP2,4/11/21
